,user,tweet,date_tweet,tweet_id,keyword
43,myyongseo,Seohyun's fanmeet and Yonghwa's concert taipei were held at NTU sport center and these are YSTW's support for both events ❤💑 https://t.co/5dzZcD7ohk,2020-02-08 15:01:05,1226159017426210817,"ntu,nanyang technological university"
44,Arqam Chaudhary🇵🇰,NTU students after Absolute Marking system: https://t.co/tbYYf6Wonm,2020-02-08 14:45:34,1226155113011720192,"ntu,nanyang technological university"
45,groupChatMVP,"Dear Atlanta, 

Don’t panic. 

-signed- 

Ntu",2020-02-08 14:39:58,1226153702765072384,"ntu,nanyang technological university"
46,poojie⁷ 🕊 CHU DAY,idk if its bcos ive only left the house to go to uni classes or what but people at ntu give zero shits 😭✋,2020-02-08 14:37:10,1226153000927784960,"ntu,nanyang technological university"
47,7dream_forever,@_STARSHIPZ_ 💗💗💗💗💗💗💗💗my babe,2020-02-08 14:32:29,1226151822454222850,"ntu,nanyang technological university"
48,Moonshine 🦎,"Tonight at @FondationPhi we are BRINGING DOWN THE WALLS with @ty_ushka @BonbonKojak and @aka_ntu 💨💨 come take refuge from the cold! Entry is FREE so come early! Doors at 9:30!

https://t.co/xGF1h0VFxF",2020-02-08 14:24:37,1226149841815863298,"ntu,nanyang technological university"
49,Yiyu Cai,The Garden @ NTU to be reopened soon. https://t.co/vd55Lxab9B,2020-02-08 14:17:01,1226147927384395776,"ntu,nanyang technological university"
50,Juka Lion Darboe-Tkáč,@peperfectposh Lmao! Aling ntu😂,2020-02-08 13:23:05,1226134354025467905,"ntu,nanyang technological university"
51,Cwenxuan,Comeback season! Thankful for those who supported me throughout this tough journey🏆 @ NTU Hall 2 https://t.co/IMqdkBji9L,2020-02-08 13:09:30,1226130938737889281,"ntu,nanyang technological university"
52,𝐰𝐢𝐲𝐚𝐡,"knew u thru football &amp; its kinda sad tht ure not playing it anym :-( but wtv it is when i first met u @ ntu , i still had fun 👉🏼👈🏼",2020-02-08 13:06:12,1226130104780087296,"ntu,nanyang technological university"
53,NTU Student Services,"Make sure you have had the ACWY vaccinate. If you haven't, go to NTU Student Health Centre to make an appointment now. It is free to all first years under 25. For more information, please visit 👉https://t.co/OSOoW4sBm2 @MeningitisNow https://t.co/6Sqo2gAs8J",2020-02-08 13:00:36,1226128696307830785,"ntu,nanyang technological university"
54,Daniel Pikett,"@claireknee @TrentUni We were lost in translation at times, but it was lovely. A budding engineer, studying here at NTU. I wish him all the best ❤️",2020-02-08 12:56:27,1226127653176041472,"ntu,nanyang technological university"
55,Dr Eiman Kanjo,Dario Ortega Anderezis making progress with our #CrimePrevention prototype using the latest #IoT #edgecomputing and #wirelesscommunications tools &amp; calibrating the system using camera with #ucl #smartcities #digitalsecurity  #datascience #ucl #ntu  #digitalsignature  #nottingham https://t.co/pMGMexsyqG,2020-02-08 12:29:01,1226120749322264577,"ntu,nanyang technological university"
56,Emilio Perez,Studying Abroad at Nanyang Technological University | Dreams Abroad https://t.co/uIxGm0FodX,2020-02-08 12:25:29,1226119858267598849,"ntu,nanyang technological university"
57,shauna 🤠,"I still havent gotten a solid 1-8 for my voting card but who can blame me when sligo has some wack independents and are running ppl from the n*national party, r*nua and a*ntu",2020-02-08 12:20:41,1226118652078018560,"ntu,nanyang technological university"
