Date,Sentiment
9/2/2020 7:36,0
9/2/2020 7:25,4
9/2/2020 7:07,0
9/2/2020 6:19,0
9/2/2020 5:54,0
9/2/2020 4:35,4
9/2/2020 4:33,0
9/2/2020 4:05,4
9/2/2020 3:47,4
9/2/2020 3:26,0
9/2/2020 2:05,0
9/2/2020 1:43,0
9/2/2020 0:46,4
8/2/2020 23:36,4
8/2/2020 23:17,4
8/2/2020 22:55,4
8/2/2020 22:45,4
8/2/2020 22:17,4
8/2/2020 21:35,4
8/2/2020 21:29,4
8/2/2020 20:40,4
8/2/2020 20:29,4
8/2/2020 20:03,4
8/2/2020 19:45,4
8/2/2020 19:40,4
8/2/2020 19:35,4
8/2/2020 18:32,4
8/2/2020 18:29,4
8/2/2020 18:25,4
8/2/2020 18:16,0
8/2/2020 18:14,4
8/2/2020 18:01,4
8/2/2020 18:01,4
8/2/2020 17:36,0
8/2/2020 16:56,0
8/2/2020 16:25,4
8/2/2020 15:54,4
8/2/2020 15:46,0
8/2/2020 15:40,4
8/2/2020 15:37,4
8/2/2020 15:29,0
8/2/2020 15:22,4
8/2/2020 15:21,4
8/2/2020 15:01,4
8/2/2020 14:45,4
8/2/2020 14:39,4
8/2/2020 14:37,0
8/2/2020 14:32,4
8/2/2020 14:24,0
8/2/2020 14:17,4
8/2/2020 13:23,4
8/2/2020 13:09,4
8/2/2020 13:06,0
8/2/2020 13:00,4
8/2/2020 12:56,0
8/2/2020 12:29,4
8/2/2020 12:25,0
8/2/2020 12:20,0
8/2/2020 12:11,0
8/2/2020 11:55,4
8/2/2020 11:22,4
8/2/2020 10:56,4
8/2/2020 10:34,4
8/2/2020 10:29,4
8/2/2020 10:12,4
8/2/2020 9:40,4
8/2/2020 9:39,4
8/2/2020 9:38,0
8/2/2020 9:17,4
8/2/2020 8:37,4
8/2/2020 8:16,4
8/2/2020 7:36,4
8/2/2020 7:05,4
8/2/2020 6:25,4
8/2/2020 6:05,4
8/2/2020 5:57,4
8/2/2020 5:52,0
8/2/2020 5:45,4
8/2/2020 4:54,0
8/2/2020 4:53,0
8/2/2020 3:59,4
8/2/2020 3:39,4
8/2/2020 3:25,4
8/2/2020 3:21,4
8/2/2020 3:05,4
8/2/2020 2:59,0
8/2/2020 2:35,4
8/2/2020 2:28,4
8/2/2020 2:15,4
8/2/2020 1:09,4
8/2/2020 0:45,4
8/2/2020 0:43,0
8/2/2020 0:30,4
8/2/2020 0:29,4
8/2/2020 0:15,4
8/2/2020 0:10,4
7/2/2020 23:50,4
7/2/2020 23:28,4
7/2/2020 23:02,4
7/2/2020 22:31,0
7/2/2020 22:22,4
7/2/2020 21:52,4
7/2/2020 20:56,4
7/2/2020 20:36,0
7/2/2020 20:35,4
