Date,Sentiment
9/2/2020 7:38,4
9/2/2020 7:11,0
9/2/2020 7:10,0
9/2/2020 7:09,0
9/2/2020 7:09,0
9/2/2020 7:09,0
9/2/2020 6:57,0
9/2/2020 6:55,4
9/2/2020 6:52,4
9/2/2020 6:18,0
9/2/2020 6:18,0
9/2/2020 6:12,0
9/2/2020 6:08,0
9/2/2020 5:52,4
9/2/2020 5:34,0
9/2/2020 5:12,4
9/2/2020 4:56,0
9/2/2020 4:24,4
9/2/2020 4:22,0
9/2/2020 4:21,4
9/2/2020 4:17,0
9/2/2020 4:13,0
9/2/2020 3:05,4
9/2/2020 3:01,0
9/2/2020 2:55,0
9/2/2020 2:55,4
9/2/2020 2:52,0
9/2/2020 2:45,0
9/2/2020 2:44,4
9/2/2020 2:32,0
9/2/2020 2:32,4
9/2/2020 2:25,0
9/2/2020 2:24,0
9/2/2020 2:24,4
9/2/2020 2:22,0
9/2/2020 2:22,4
9/2/2020 2:02,4
9/2/2020 1:56,4
9/2/2020 1:51,0
9/2/2020 1:49,4
9/2/2020 1:43,0
9/2/2020 1:37,4
9/2/2020 1:28,4
9/2/2020 1:21,0
9/2/2020 1:19,0
9/2/2020 1:00,4
9/2/2020 0:50,4
9/2/2020 0:50,4
9/2/2020 0:21,0
9/2/2020 0:03,4
8/2/2020 23:38,0
8/2/2020 23:09,4
8/2/2020 23:06,4
8/2/2020 22:12,4
8/2/2020 22:12,4
8/2/2020 21:52,4
8/2/2020 21:36,4
8/2/2020 21:36,4
8/2/2020 21:34,4
8/2/2020 21:33,4
8/2/2020 21:33,4
8/2/2020 21:24,0
8/2/2020 21:05,4
8/2/2020 20:42,4
8/2/2020 20:42,4
8/2/2020 19:57,4
8/2/2020 19:38,4
8/2/2020 19:33,4
8/2/2020 19:24,4
8/2/2020 18:57,4
8/2/2020 18:55,4
8/2/2020 18:53,4
8/2/2020 18:52,0
8/2/2020 18:39,0
8/2/2020 18:32,0
8/2/2020 18:28,0
8/2/2020 18:19,0
8/2/2020 17:51,0
8/2/2020 17:46,0
8/2/2020 17:24,4
8/2/2020 17:16,0
8/2/2020 17:11,4
8/2/2020 17:07,4
8/2/2020 16:55,4
8/2/2020 16:54,0
8/2/2020 16:45,4
8/2/2020 16:34,4
8/2/2020 16:21,4
8/2/2020 16:10,4
8/2/2020 16:05,4
8/2/2020 16:03,4
8/2/2020 16:03,0
8/2/2020 16:02,4
8/2/2020 16:01,4
8/2/2020 15:59,0
8/2/2020 15:21,0
8/2/2020 15:00,0
8/2/2020 14:46,4
8/2/2020 14:40,0
8/2/2020 14:36,4
8/2/2020 14:35,4
8/2/2020 14:30,4
8/2/2020 14:06,4
8/2/2020 14:00,4
8/2/2020 13:56,0
8/2/2020 13:45,4
8/2/2020 13:37,4
8/2/2020 13:36,0
8/2/2020 13:30,0
8/2/2020 13:29,0
8/2/2020 12:47,0
8/2/2020 12:36,0
8/2/2020 12:29,0
8/2/2020 12:01,0
8/2/2020 12:00,4
8/2/2020 11:56,0
8/2/2020 11:23,0
8/2/2020 11:21,4
8/2/2020 11:13,0
8/2/2020 10:53,0
8/2/2020 10:49,0
8/2/2020 10:46,0
8/2/2020 10:34,0
8/2/2020 10:16,4
8/2/2020 10:09,0
8/2/2020 9:47,4
8/2/2020 9:45,4
8/2/2020 9:34,4
8/2/2020 9:19,4
8/2/2020 8:42,0
8/2/2020 8:20,4
8/2/2020 7:35,0
8/2/2020 7:31,0
8/2/2020 7:14,4
8/2/2020 6:33,0
8/2/2020 6:32,4
8/2/2020 6:19,4
8/2/2020 5:53,4
8/2/2020 5:51,0
8/2/2020 5:49,0
8/2/2020 5:39,0
8/2/2020 4:59,4
8/2/2020 4:51,4
8/2/2020 4:20,4
8/2/2020 4:02,4
8/2/2020 3:39,4
8/2/2020 3:29,4
8/2/2020 3:00,4
8/2/2020 2:53,4
8/2/2020 2:31,4
8/2/2020 2:18,4
8/2/2020 2:07,4
8/2/2020 1:47,4
8/2/2020 1:41,0
8/2/2020 1:39,4
8/2/2020 1:31,4
8/2/2020 1:14,4
8/2/2020 1:02,4
8/2/2020 0:58,4
8/2/2020 0:55,0
8/2/2020 0:20,0
8/2/2020 0:12,4
7/2/2020 23:49,0
7/2/2020 23:16,4
7/2/2020 23:02,4
7/2/2020 23:02,4
7/2/2020 22:59,4
7/2/2020 22:40,0
7/2/2020 22:22,4
7/2/2020 22:04,4
7/2/2020 22:01,4
7/2/2020 20:57,4
7/2/2020 20:50,0
7/2/2020 20:46,0
7/2/2020 20:45,4
7/2/2020 20:34,4
7/2/2020 20:27,4
7/2/2020 20:09,0
7/2/2020 19:57,0
7/2/2020 19:52,4
7/2/2020 19:38,4
7/2/2020 19:29,4
7/2/2020 19:29,4
7/2/2020 19:24,0
7/2/2020 19:24,4
7/2/2020 19:23,4
7/2/2020 19:11,4
7/2/2020 19:02,0
7/2/2020 19:00,4
7/2/2020 18:59,4
7/2/2020 18:53,0
7/2/2020 18:44,4
7/2/2020 18:40,4
7/2/2020 18:32,4
7/2/2020 18:25,4
7/2/2020 18:14,0
7/2/2020 17:58,4
7/2/2020 17:57,0
7/2/2020 17:51,4
7/2/2020 17:45,0
7/2/2020 17:45,4
7/2/2020 17:43,0
7/2/2020 17:40,0
7/2/2020 17:37,4
7/2/2020 17:30,0
7/2/2020 17:27,4
7/2/2020 17:09,0
7/2/2020 16:53,4
7/2/2020 16:50,4
7/2/2020 16:32,0
7/2/2020 16:24,4
7/2/2020 16:20,0
7/2/2020 16:11,0
7/2/2020 16:00,0
7/2/2020 16:00,4
7/2/2020 15:55,0
7/2/2020 15:52,4
7/2/2020 15:47,4
7/2/2020 15:47,0
7/2/2020 15:44,4
7/2/2020 15:33,0
7/2/2020 15:32,4
7/2/2020 15:23,4
7/2/2020 15:19,4
7/2/2020 15:13,4
7/2/2020 15:03,4
7/2/2020 15:00,4
7/2/2020 15:00,4
7/2/2020 14:59,0
7/2/2020 14:51,4
7/2/2020 14:50,4
7/2/2020 14:37,0
7/2/2020 14:27,4
7/2/2020 14:18,4
7/2/2020 14:10,0
7/2/2020 14:07,4
7/2/2020 14:07,4
7/2/2020 14:06,4
7/2/2020 14:03,4
7/2/2020 14:02,4
7/2/2020 14:00,4
7/2/2020 13:41,4
7/2/2020 13:40,0
7/2/2020 13:39,0
7/2/2020 13:36,4
7/2/2020 13:22,4
7/2/2020 13:18,4
7/2/2020 13:13,4
7/2/2020 13:12,4
7/2/2020 13:05,4
7/2/2020 13:01,4
7/2/2020 12:55,0
7/2/2020 12:52,0
7/2/2020 12:47,0
7/2/2020 12:44,4
7/2/2020 12:42,4
7/2/2020 12:42,4
7/2/2020 12:38,4
7/2/2020 12:35,4
7/2/2020 12:31,4
7/2/2020 12:08,4
7/2/2020 12:08,0
7/2/2020 12:02,4
7/2/2020 12:01,4
7/2/2020 12:00,4
7/2/2020 11:56,4
7/2/2020 11:51,4
7/2/2020 11:44,4
7/2/2020 11:42,4
7/2/2020 11:35,4
7/2/2020 11:35,4
7/2/2020 11:11,0
7/2/2020 11:11,0
7/2/2020 11:10,4
7/2/2020 11:05,4
7/2/2020 11:00,4
7/2/2020 10:59,4
7/2/2020 10:57,0
7/2/2020 10:53,4
7/2/2020 10:52,0
7/2/2020 10:45,4
7/2/2020 10:30,4
7/2/2020 10:30,4
7/2/2020 10:11,0
7/2/2020 10:09,0
7/2/2020 10:08,4
7/2/2020 10:07,0
7/2/2020 10:03,4
7/2/2020 9:59,4
7/2/2020 9:46,4
7/2/2020 9:42,4
7/2/2020 9:41,4
7/2/2020 9:39,4
7/2/2020 9:35,4
7/2/2020 9:18,4
7/2/2020 9:17,4
7/2/2020 9:08,4
7/2/2020 9:07,4
7/2/2020 9:06,4
7/2/2020 8:55,4
7/2/2020 8:51,4
7/2/2020 8:49,4
7/2/2020 8:48,4
7/2/2020 8:45,4
7/2/2020 8:43,4
7/2/2020 8:38,4
7/2/2020 8:38,4
7/2/2020 8:35,4
7/2/2020 8:26,4
7/2/2020 8:26,4
7/2/2020 8:19,0
7/2/2020 8:15,4
7/2/2020 8:00,0
7/2/2020 7:51,4
7/2/2020 7:43,4
7/2/2020 7:43,4
7/2/2020 7:43,4
7/2/2020 7:40,4
7/2/2020 7:40,4
7/2/2020 7:38,4
7/2/2020 7:34,0
7/2/2020 7:32,4
7/2/2020 7:29,4
7/2/2020 7:15,4
7/2/2020 7:12,4
7/2/2020 7:10,4
7/2/2020 6:58,4
7/2/2020 6:49,4
7/2/2020 6:44,4
7/2/2020 6:39,4
7/2/2020 6:05,4
7/2/2020 5:57,0
