Date,Sentiment
14/2/2020 7:52,0
14/2/2020 7:48,4
14/2/2020 7:30,4
14/2/2020 7:26,4
14/2/2020 7:15,4
14/2/2020 7:09,4
14/2/2020 6:52,0
14/2/2020 6:28,4
14/2/2020 6:21,0
14/2/2020 6:16,4
14/2/2020 5:52,4
14/2/2020 5:52,4
14/2/2020 5:51,0
14/2/2020 5:47,4
14/2/2020 5:42,4
14/2/2020 5:36,4
14/2/2020 5:30,4
14/2/2020 5:26,4
14/2/2020 5:06,0
14/2/2020 5:04,4
14/2/2020 5:03,4
14/2/2020 4:58,0
14/2/2020 4:57,0
14/2/2020 4:53,4
14/2/2020 4:52,0
14/2/2020 4:50,4
14/2/2020 4:40,4
14/2/2020 4:34,4
14/2/2020 4:15,0
14/2/2020 4:10,4
14/2/2020 4:06,0
14/2/2020 4:04,0
14/2/2020 3:42,0
14/2/2020 3:36,4
14/2/2020 3:32,4
14/2/2020 3:29,4
14/2/2020 3:21,4
14/2/2020 3:14,4
14/2/2020 3:13,4
14/2/2020 3:07,0
14/2/2020 3:07,0
14/2/2020 2:55,0
14/2/2020 2:50,4
14/2/2020 2:49,4
14/2/2020 2:46,0
14/2/2020 2:43,4
14/2/2020 2:42,4
14/2/2020 2:38,4
14/2/2020 2:38,0
14/2/2020 2:36,0
14/2/2020 2:34,4
14/2/2020 2:32,4
14/2/2020 2:30,4
14/2/2020 2:30,4
14/2/2020 2:21,0
14/2/2020 2:21,0
14/2/2020 2:19,4
14/2/2020 2:16,4
14/2/2020 2:16,0
14/2/2020 2:15,4
14/2/2020 2:13,4
14/2/2020 2:13,4
14/2/2020 2:12,4
14/2/2020 2:09,4
14/2/2020 2:08,4
14/2/2020 1:58,0
14/2/2020 1:54,4
14/2/2020 1:51,0
14/2/2020 1:45,4
14/2/2020 1:44,4
14/2/2020 1:42,0
14/2/2020 1:41,4
14/2/2020 1:40,4
14/2/2020 1:40,0
14/2/2020 1:40,4
14/2/2020 1:40,4
14/2/2020 1:39,4
14/2/2020 1:32,4
14/2/2020 1:31,4
14/2/2020 1:28,0
14/2/2020 1:25,4
14/2/2020 1:23,4
14/2/2020 1:20,4
14/2/2020 1:20,4
14/2/2020 1:19,0
14/2/2020 1:19,0
14/2/2020 1:13,0
14/2/2020 1:06,0
14/2/2020 1:01,4
14/2/2020 0:59,4
14/2/2020 0:58,4
14/2/2020 0:54,4
14/2/2020 0:51,0
14/2/2020 0:50,0
14/2/2020 0:48,4
14/2/2020 0:44,0
14/2/2020 0:43,0
14/2/2020 0:42,4
14/2/2020 0:37,4
14/2/2020 0:36,0
14/2/2020 0:36,4
14/2/2020 0:31,0
14/2/2020 0:30,0
14/2/2020 0:25,4
14/2/2020 0:23,4
14/2/2020 0:20,4
14/2/2020 0:16,4
14/2/2020 0:15,4
14/2/2020 0:10,4
14/2/2020 0:10,0
14/2/2020 0:07,4
14/2/2020 0:04,4
14/2/2020 0:02,4
13/2/2020 23:57,4
13/2/2020 23:52,4
13/2/2020 23:48,0
13/2/2020 23:47,0
13/2/2020 23:46,0
13/2/2020 23:45,4
13/2/2020 23:42,4
13/2/2020 23:38,4
13/2/2020 23:34,4
13/2/2020 23:27,4
13/2/2020 23:21,4
13/2/2020 23:15,4
13/2/2020 23:13,4
13/2/2020 23:13,4
13/2/2020 23:11,0
13/2/2020 23:09,4
13/2/2020 23:09,0
13/2/2020 23:07,4
13/2/2020 23:01,4
13/2/2020 23:00,4
13/2/2020 22:55,4
13/2/2020 22:52,4
13/2/2020 22:49,4
13/2/2020 22:45,4
13/2/2020 22:43,4
13/2/2020 22:43,4
13/2/2020 22:42,4
13/2/2020 22:41,4
13/2/2020 22:36,4
13/2/2020 22:35,0
13/2/2020 22:35,4
13/2/2020 22:33,4
13/2/2020 22:31,4
13/2/2020 22:23,4
13/2/2020 22:23,4
13/2/2020 22:21,4
13/2/2020 22:20,0
13/2/2020 22:14,4
13/2/2020 22:03,0
13/2/2020 22:03,4
13/2/2020 22:00,4
13/2/2020 21:59,4
13/2/2020 21:55,4
13/2/2020 21:54,0
13/2/2020 21:54,4
13/2/2020 21:52,4
13/2/2020 21:50,4
13/2/2020 21:49,0
13/2/2020 21:46,4
13/2/2020 21:45,4
13/2/2020 21:38,4
13/2/2020 21:36,4
13/2/2020 21:33,4
13/2/2020 21:28,0
13/2/2020 21:23,4
13/2/2020 21:21,4
13/2/2020 21:17,4
13/2/2020 21:17,0
13/2/2020 21:14,4
13/2/2020 21:05,4
13/2/2020 21:05,0
13/2/2020 21:04,4
13/2/2020 21:01,4
13/2/2020 20:57,4
13/2/2020 20:55,4
13/2/2020 20:51,4
13/2/2020 20:50,0
13/2/2020 20:49,4
13/2/2020 20:47,4
13/2/2020 20:41,4
13/2/2020 20:39,4
13/2/2020 20:37,4
13/2/2020 20:36,0
13/2/2020 20:32,0
13/2/2020 20:31,0
13/2/2020 20:29,0
13/2/2020 20:26,4
13/2/2020 20:23,0
13/2/2020 20:20,0
13/2/2020 20:07,4
13/2/2020 20:04,0
13/2/2020 20:02,4
13/2/2020 19:56,0
13/2/2020 19:54,0
13/2/2020 19:54,0
13/2/2020 19:54,4
13/2/2020 19:51,0
13/2/2020 19:51,0
13/2/2020 19:38,0
13/2/2020 19:37,0
13/2/2020 19:32,4
13/2/2020 19:29,0
13/2/2020 19:28,4
13/2/2020 19:28,0
13/2/2020 19:23,4
13/2/2020 19:18,0
13/2/2020 19:17,4
13/2/2020 19:12,0
13/2/2020 19:04,0
13/2/2020 19:03,0
13/2/2020 19:03,4
13/2/2020 18:57,4
13/2/2020 18:48,4
13/2/2020 18:43,4
13/2/2020 18:42,4
13/2/2020 18:41,0
