,user,tweet,date_tweet,tweet_id,keyword
22,bal 🧚‍♀️,"me : oooo dom energy
nus : ehem well i’m more to a switch thank u
me : tehe
nus : and u are a definitely a sub... cause the pretty one is always the sub
me : i’ll take that as a compliment ✋😳",2020-02-09 03:05:31,1226341329166200833,"nus,national university of singapore"
23,Nusret Pjetrovic,@jackharlow He there cuz college and high school recognize him NBA don’t,2020-02-09 03:01:34,1226340333602197506,"nus,national university of singapore"
24,RandallHunter,"$NUS is expected to file a review of 2019 performance on 12th Feb, 2020. Firms with high accruals in the reported earnings have a lower chance of performing well next period. see https://t.co/Rhu7TO7zmS.",2020-02-09 02:55:16,1226338748272500736,"nus,national university of singapore"
25,Singapore SLING,@BogochIsaac @zchagla Also coincides with the end of Chinese New Year period so best to wait a few days to see how things pan out before reading too much into this,2020-02-09 02:55:05,1226338700323254273,"nus,national university of singapore"
26,John Moore,"@marcorubio a·nus
/ˈānəs/
the opening at the end of the alimentary canal through which solid waste matter leaves the body. https://t.co/D47UaOBZdk",2020-02-09 02:52:50,1226338135212204032,"nus,national university of singapore"
27,Bernie,"National University of Singapore, jumps the gun, and goes code red on some classes. Testing their e-learning setup, preparing for the worst? https://t.co/xxxTb850RU",2020-02-09 02:45:07,1226336193270272000,"nus,national university of singapore"
28,Chua Zhuo Rui,"""Parent - Teacher Collaboration In The Inclusive Classroom"" published. Thank you Tammy Tan (NUS) for proofreading my work.",2020-02-09 02:44:23,1226336009593294849,"nus,national university of singapore"
29,Karlito's Way,@HandsomeOnFleek You do know us ugly folk can’t get p nus like that right,2020-02-09 02:32:57,1226333133097885696,"nus,national university of singapore"
30,Prashant Sonar,Prof. Kian Ping Loh from National University of Singapore delivered excellent talk on 2D Organic Framework !! https://t.co/xFn34TjaUX,2020-02-09 02:32:21,1226332979309371392,"nus,national university of singapore"
31,The Markets Daily,"Zacks: Analysts Anticipate Nu Skin Enterprises, Inc. $NUS to Post $0.72 EPS https://t.co/YwNplKlYFB",2020-02-09 02:25:20,1226331215004917762,"nus,national university of singapore"
32,Stock News Times,"Nu Skin Enterprises, Inc. $NUS Expected to Announce Quarterly Sales of $583.25 Million  https://t.co/8OfSU0IW7N",2020-02-09 02:24:32,1226331013267230721,"nus,national university of singapore"
33,Dakota Financial,"Analysts Anticipate Nu Skin Enterprises, Inc. $NUS Will Post Earnings of $0.72 Per Share https://t.co/isbjqE2m3y",2020-02-09 02:24:10,1226330921034567680,"nus,national university of singapore"
34,Daily Political,"Nu Skin Enterprises, Inc. $NUS Expected to Post Quarterly Sales of $583.25 Million https://t.co/lHK0R5jhqc",2020-02-09 02:22:37,1226330532075724802,"nus,national university of singapore"
35,Noreen Chan,"At times like these, it is even more important to take time to rest, replenish and restore. Gardening is the balm to my soul.
https://t.co/VDor8b2cCm https://t.co/hIpfcj2Juq",2020-02-09 02:22:14,1226330435405221899,"nus,national university of singapore"
36,Simon Chesterman 陈西文,"Now that MOH has raised its risk assessment to orange, we're transitioning to e-learning for lectures with more than 50 students with effect from Monday. For the most part, life continues largely as normal. Wash your hands and carry on! https://t.co/tNYFlU9Til",2020-02-09 02:02:57,1226325582775865345,"nus,national university of singapore"
37,Rosa Celia Poquita-Du,@EMEL_NUS @NUSReef @NUSResearch available e-offprint using the link 👇🏼https://t.co/AHRKSkOI8o https://t.co/iyIAFMlend,2020-02-09 01:56:04,1226323851887300610,"nus,national university of singapore"
38,SinsTalisman,NUS to implement e-learning for some classes amid coronavirus outbreak #Learning  https://t.co/TGvsyPXCJH,2020-02-09 01:51:18,1226322650248761345,"nus,national university of singapore"
39,Adrienne Michetti,... and it begins... https://t.co/FPXUwDasB6,2020-02-09 01:49:40,1226322238623731720,"nus,national university of singapore"
40,Brooke Parker,"""I feel like she watches nus though those windows."" #TheNeighborInTheWindow https://t.co/zYelX6AW94",2020-02-09 01:43:14,1226320622285918210,"nus,national university of singapore"
41,Nusy🌸,There’s more happiness in giving than taking 👓,2020-02-09 01:37:39,1226319216254554112,"nus,national university of singapore"
42,Optrix,@Fat_Chicken_ yeah show us your NUS extra,2020-02-09 01:28:17,1226316858716041218,"nus,national university of singapore"
43,Eric Cheng,NUS to implement e-learning for some classes amid coronavirus outbreak https://t.co/9aB17UbtAw,2020-02-09 01:21:45,1226315213965627392,"nus,national university of singapore"
44,Eric Cheng,NUS to implement e-learning for some classes amid coronavirus outbreak https://t.co/xL64ZpZhND,2020-02-09 01:19:24,1226314623034351616,"nus,national university of singapore"
45,Spiked Takes,Wearing red trousers is the NUS - the result is tyranny,2020-02-09 01:00:24,1226309841188249600,"nus,national university of singapore"
46,FASS,𝗖𝗼𝗺𝗲 𝗧𝗼𝗴𝗲𝘁𝗵𝗲𝗿 𝗮𝘀 #𝗢𝗻𝗲𝗡𝗨𝗦 𝘁𝗼 𝗣𝗿𝗼𝘁𝗲𝗰𝘁 𝗔𝗴𝗮𝗶𝗻𝘀𝘁 𝟮𝟬𝟭𝟵-𝗻𝗖𝗼𝗩 @NUSingapore has heightened precautionary measures in place. https://t.co/s1MVCo2uMn Let’s continue being vigilant!  #NUSCares #FASSCares #SGTogether #2019nCoV #sghealth https://t.co/NCQNTax6G3,2020-02-09 00:50:27,1226307336999817216,"nus,national university of singapore"
